case_num,doc_type,layman,budding_lawyer,advocate
40,Ground Truth,48.8414,45.098,6.0606
40,LockNKey,48.1034,45.5172,6.3793
41,Original Judgement,54.7739,39.4831,5.743
41,Ground Truth,52.2621,41.4977,6.2402
41,LockNKey,59.4625,34.7144,5.8231
42,Original Judgement,49.1598,39.5467,11.2935
42,Ground Truth,51.2262,36.6485,12.1253
42,LockNKey,51.2262,36.6485,12.1253
43,Original Judgement,51.8762,43.318,4.8058
43,Ground Truth,45.5919,48.6146,5.7935
43,LockNKey,52.1834,42.7948,5.0218
44,Original Judgement,48.6792,41.8449,9.4759
44,Ground Truth,49.9426,42.7095,7.3479
44,LockNKey,49.9426,42.7095,7.3479
45,Original Judgement,54.2226,39.6212,6.1563
45,Ground Truth,55.3288,37.415,7.2562
45,LockNKey,56.2372,39.6728,4.09
46,Original Judgement,56.3066,40.2787,3.4146
46,Ground Truth,55.0321,42.3983,2.5696
46,LockNKey,57.7358,39.6226,2.6415
47,Original Judgement,49.271,42.4666,8.2625
47,Ground Truth,51.2605,40.9664,7.7731
47,LockNKey,49.7992,42.7711,7.4297
48,Original Judgement,51.5362,43.112,5.3518
48,Ground Truth,47.1591,48.8636,3.9773
48,LockNKey,47.9893,47.7212,4.2895
49,Original Judgement,42.1891,50.9453,6.8657
49,Ground Truth,37.1859,55.7789,7.0352
49,LockNKey,42.0538,53.3007,4.6455
50,Original Judgement,40.6829,51.0732,8.2439
50,Ground Truth,39.8134,50.8554,9.3313
50,LockNKey,39.8764,50.8501,9.2736
